tool,class,confidence,runtime,launch,tests,tools,docs,other,strong_total
tools/build_openswisshcc_v15_blind_fusion.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/build_openswisshcc_volumetric_candidates.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/build_openswisshcc_volumetric_gallery.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/build_patch25d_dataset.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/build_production_liver_masks_for_selection.py,TOOLCHAIN_ONLY,STRONG,0,0,0,1,2,0,3
tools/build_public_independent_cohort_v21.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,2,0,2
tools/build_rag_corpus.py,TEST_REFERENCED_ONLY,STRONG,0,0,2,1,1,0,3
tools/build_rag_index.py,TEST_REFERENCED_ONLY,STRONG,0,0,2,0,2,0,4
tools/build_raw_phase_review_gallery.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/build_relatorio_consolidado_docx.js,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/build_synthetic_external_stress_v1.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,2,0,2
tools/check_hybrid_training_environment.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/combine_final_liver_vessel_score.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/consolidate_public_independent_v21.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/create_quest_access_page.py,TEST_REFERENCED_ONLY,STRONG,0,0,1,1,1,0,3
tools/create_quest_certificate.py,RUNTIME_OR_LAUNCH_WIRED,STRONG,0,1,1,0,1,0,3
tools/diagnose_external_signals.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/diagnose_lld_mmri_v23_liver_fallback.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/download_chaos_v103.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/download_http_ranges.py,TEST_REFERENCED_ONLY,WEAK,0,0,1,0,0,0,0
tools/download_lld_mmri_v23_external.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,3,0,3
tools/ensure_docker_desktop.ps1,TEST_REFERENCED_ONLY,STRONG,0,0,3,1,1,0,2
tools/ensure_quest_firewall.ps1,TEST_REFERENCED_ONLY,STRONG,0,0,1,1,1,0,2
tools/eval_rag_retrieval.py,TEST_REFERENCED_ONLY,STRONG,0,0,1,0,0,0,1
tools/evaluate_chaos_v21_negative.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_hybrid_robustness.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/evaluate_late_fusion.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/evaluate_liverhccseg_v21_positive.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/evaluate_lld_mmri_v23_external.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_lld_mmri_v23_liver_enriched.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_medsiglip_external_bundle.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_multi_signal_fusion.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_openswisshcc_axial_atlas_chunk_v18.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_openswisshcc_axial_atlas_rag_v19.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_openswisshcc_axial_atlas_v17.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_openswisshcc_candidate_volume_v16.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_openswisshcc_enhancement_features_v22.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_openswisshcc_enhancement_pilot_v22.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_openswisshcc_fusion_v11.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,1,0,1
tools/evaluate_openswisshcc_highdimensional_v13.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_openswisshcc_holdout_v21.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,3,0,3
tools/evaluate_openswisshcc_lesion_localizer_full87_v10.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_openswisshcc_localizer_roi_v10.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_openswisshcc_multisequence.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_openswisshcc_run.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,2,0,2
tools/evaluate_openswisshcc_slice_pairwise.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_openswisshcc_v15_fusion.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,2,0,2
tools/evaluate_openswisshcc_v23_shape_fusion.py,RUNTIME_OR_LAUNCH_WIRED,STRONG,0,1,0,0,0,0,1
tools/evaluate_openswisshcc_v24_planarity_contrast.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_openswisshcc_v25_sphericity.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_openswisshcc_v26_bbox_fill.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_openswisshcc_v27_nested_recalibration.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_openswisshcc_volumetric_pairwise.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_openswisshcc_volumetric_run.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/evaluate_synthetic_external_stress_v1.py,DOC_REFERENCED_ONLY,STRONG,0,0,0,0,2,0,2
tools/evaluate_v24_liver_enriched.py,STATIC_ORPHAN,NONE,0,0,0,0,0,0,0
tools/export_argos_portable.ps1,TEST_REFERENCED_ONLY,STRONG,0,0,1,1,3,0,4
